2021-10-06 16:47:51 startup archives install
2021-10-06 16:47:53 status half-configured dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:53 status unpacked dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:53 status half-installed dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:53 status unpacked dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:54 install e2fsprogs:amd64 <none> 1.45.5-2ubuntu1
2021-10-06 16:47:54 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:54 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:54 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:54 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:54 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:54 install findutils:amd64 <none> 4.7.0-1ubuntu1
2021-10-06 16:47:54 status half-installed findutils:amd64 4.7.0-1ubuntu1
2021-10-06 16:47:54 status unpacked findutils:amd64 4.7.0-1ubuntu1
2021-10-06 16:47:54 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2021-10-06 16:47:54 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:54 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:54 install grep:amd64 <none> 3.4-1
2021-10-06 16:47:54 status half-installed grep:amd64 3.4-1
2021-10-06 16:47:54 status unpacked grep:amd64 3.4-1
2021-10-06 16:47:54 install gzip:amd64 <none> 1.10-0ubuntu4
2021-10-06 16:47:54 status half-installed gzip:amd64 1.10-0ubuntu4
2021-10-06 16:47:54 status unpacked gzip:amd64 1.10-0ubuntu4
2021-10-06 16:47:54 install hostname:amd64 <none> 3.23
2021-10-06 16:47:54 status half-installed hostname:amd64 3.23
2021-10-06 16:47:54 status unpacked hostname:amd64 3.23
2021-10-06 16:47:54 install init-system-helpers:all <none> 1.57
2021-10-06 16:47:54 status half-installed init-system-helpers:all 1.57
2021-10-06 16:47:54 status unpacked init-system-helpers:all 1.57
2021-10-06 16:47:54 install libacl1:amd64 <none> 2.2.53-6
2021-10-06 16:47:54 status half-installed libacl1:amd64 2.2.53-6
2021-10-06 16:47:54 status unpacked libacl1:amd64 2.2.53-6
2021-10-06 16:47:54 install libattr1:amd64 <none> 1:2.4.48-5
2021-10-06 16:47:54 status half-installed libattr1:amd64 1:2.4.48-5
2021-10-06 16:47:54 status unpacked libattr1:amd64 1:2.4.48-5
2021-10-06 16:47:54 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2021-10-06 16:47:54 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:54 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:54 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:54 install libbz2-1.0:amd64 <none> 1.0.8-2
2021-10-06 16:47:54 status half-installed libbz2-1.0:amd64 1.0.8-2
2021-10-06 16:47:54 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-10-06 16:47:54 install libc-bin:amd64 <none> 2.31-0ubuntu9
2021-10-06 16:47:54 status half-installed libc-bin:amd64 2.31-0ubuntu9
2021-10-06 16:47:54 status unpacked libc-bin:amd64 2.31-0ubuntu9
2021-10-06 16:47:54 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2021-10-06 16:47:54 status half-configured libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:54 status unpacked libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:54 status half-installed libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:54 status unpacked libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:55 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2021-10-06 16:47:55 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2021-10-06 16:47:55 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2021-10-06 16:47:55 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2021-10-06 16:47:55 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:55 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:55 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2021-10-06 16:47:55 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-10-06 16:47:55 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-10-06 16:47:55 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:55 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:55 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:55 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2021-10-06 16:47:55 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2021-10-06 16:47:55 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-10-06 16:47:55 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2021-10-06 16:47:55 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:55 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:55 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:55 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2021-10-06 16:47:55 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:55 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:55 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2021-10-06 16:47:55 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2021-10-06 16:47:55 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2021-10-06 16:47:55 install libgpg-error0:amd64 <none> 1.37-1
2021-10-06 16:47:55 status half-installed libgpg-error0:amd64 1.37-1
2021-10-06 16:47:55 status unpacked libgpg-error0:amd64 1.37-1
2021-10-06 16:47:55 install liblz4-1:amd64 <none> 1.9.2-2
2021-10-06 16:47:55 status half-installed liblz4-1:amd64 1.9.2-2
2021-10-06 16:47:55 status unpacked liblz4-1:amd64 1.9.2-2
2021-10-06 16:47:55 install liblzma5:amd64 <none> 5.2.4-1
2021-10-06 16:47:55 status half-installed liblzma5:amd64 5.2.4-1
2021-10-06 16:47:55 status unpacked liblzma5:amd64 5.2.4-1
2021-10-06 16:47:55 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:55 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 install libncurses6:amd64 <none> 6.2-0ubuntu2
2021-10-06 16:47:55 status half-installed libncurses6:amd64 6.2-0ubuntu2
2021-10-06 16:47:55 status unpacked libncurses6:amd64 6.2-0ubuntu2
2021-10-06 16:47:55 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2021-10-06 16:47:55 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2021-10-06 16:47:55 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2021-10-06 16:47:55 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2021-10-06 16:47:55 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2021-10-06 16:47:55 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2021-10-06 16:47:55 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2021-10-06 16:47:55 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2021-10-06 16:47:55 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2021-10-06 16:47:55 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2021-10-06 16:47:55 install libpcre2-8-0:amd64 <none> 10.34-7
2021-10-06 16:47:55 status half-installed libpcre2-8-0:amd64 10.34-7
2021-10-06 16:47:55 status unpacked libpcre2-8-0:amd64 10.34-7
2021-10-06 16:47:55 install libpcre3:amd64 <none> 2:8.39-12build1
2021-10-06 16:47:55 status half-installed libpcre3:amd64 2:8.39-12build1
2021-10-06 16:47:55 status unpacked libpcre3:amd64 2:8.39-12build1
2021-10-06 16:47:55 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2021-10-06 16:47:55 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2021-10-06 16:47:55 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2021-10-06 16:47:55 install libselinux1:amd64 <none> 3.0-1build2
2021-10-06 16:47:55 status half-installed libselinux1:amd64 3.0-1build2
2021-10-06 16:47:55 status unpacked libselinux1:amd64 3.0-1build2
2021-10-06 16:47:55 install libsemanage-common:all <none> 3.0-1build2
2021-10-06 16:47:55 status half-installed libsemanage-common:all 3.0-1build2
2021-10-06 16:47:55 status unpacked libsemanage-common:all 3.0-1build2
2021-10-06 16:47:55 install libsemanage1:amd64 <none> 3.0-1build2
2021-10-06 16:47:55 status half-installed libsemanage1:amd64 3.0-1build2
2021-10-06 16:47:55 status unpacked libsemanage1:amd64 3.0-1build2
2021-10-06 16:47:55 install libsepol1:amd64 <none> 3.0-1
2021-10-06 16:47:55 status half-installed libsepol1:amd64 3.0-1
2021-10-06 16:47:55 status unpacked libsepol1:amd64 3.0-1
2021-10-06 16:47:55 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:55 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:55 install libss2:amd64 <none> 1.45.5-2ubuntu1
2021-10-06 16:47:55 status half-installed libss2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:56 status unpacked libss2:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:56 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2021-10-06 16:47:56 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2021-10-06 16:47:56 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2021-10-06 16:47:56 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2021-10-06 16:47:56 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2021-10-06 16:47:56 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2021-10-06 16:47:56 install libudev1:amd64 <none> 245.4-4ubuntu3
2021-10-06 16:47:56 status half-installed libudev1:amd64 245.4-4ubuntu3
2021-10-06 16:47:56 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-10-06 16:47:56 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:56 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:56 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:56 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2021-10-06 16:47:56 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2021-10-06 16:47:56 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2021-10-06 16:47:56 install login:amd64 <none> 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 status half-installed login:amd64 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 status unpacked login:amd64 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 install logsave:amd64 <none> 1.45.5-2ubuntu1
2021-10-06 16:47:56 status half-installed logsave:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:56 status unpacked logsave:amd64 1.45.5-2ubuntu1
2021-10-06 16:47:56 install lsb-base:all <none> 11.1.0ubuntu2
2021-10-06 16:47:56 status half-installed lsb-base:all 11.1.0ubuntu2
2021-10-06 16:47:56 status unpacked lsb-base:all 11.1.0ubuntu2
2021-10-06 16:47:56 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-10-06 16:47:56 status half-configured mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:56 status unpacked mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:56 status half-installed mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:56 status unpacked mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:56 install mount:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:56 status half-installed mount:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:56 status unpacked mount:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:56 install ncurses-base:all <none> 6.2-0ubuntu2
2021-10-06 16:47:56 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-10-06 16:47:56 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-10-06 16:47:56 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2021-10-06 16:47:56 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2021-10-06 16:47:56 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2021-10-06 16:47:56 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2021-10-06 16:47:56 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-10-06 16:47:56 status half-configured perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:56 status unpacked perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:56 status half-installed perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:56 status unpacked perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:56 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2021-10-06 16:47:56 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2021-10-06 16:47:56 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2021-10-06 16:47:57 install sed:amd64 <none> 4.7-1
2021-10-06 16:47:57 status half-installed sed:amd64 4.7-1
2021-10-06 16:47:57 status unpacked sed:amd64 4.7-1
2021-10-06 16:47:57 install sensible-utils:all <none> 0.0.12+nmu1
2021-10-06 16:47:57 status half-installed sensible-utils:all 0.0.12+nmu1
2021-10-06 16:47:57 status unpacked sensible-utils:all 0.0.12+nmu1
2021-10-06 16:47:57 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2021-10-06 16:47:57 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-10-06 16:47:57 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-10-06 16:47:57 install tar:amd64 <none> 1.30+dfsg-7
2021-10-06 16:47:57 status half-installed tar:amd64 1.30+dfsg-7
2021-10-06 16:47:57 status unpacked tar:amd64 1.30+dfsg-7
2021-10-06 16:47:57 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2021-10-06 16:47:57 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:57 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2021-10-06 16:47:57 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2021-10-06 16:47:57 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-10-06 16:47:57 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2021-10-06 16:47:57 startup packages configure
2021-10-06 16:47:57 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-10-06 16:47:57 status unpacked lsb-base:all 11.1.0ubuntu2
2021-10-06 16:47:57 status half-configured lsb-base:all 11.1.0ubuntu2
2021-10-06 16:47:57 status installed lsb-base:all 11.1.0ubuntu2
2021-10-06 16:47:57 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2021-10-06 16:47:57 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2021-10-06 16:47:57 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2021-10-06 16:47:57 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2021-10-06 16:47:57 configure libsemanage-common:all 3.0-1build2 <none>
2021-10-06 16:47:57 status unpacked libsemanage-common:all 3.0-1build2
2021-10-06 16:47:57 status half-configured libsemanage-common:all 3.0-1build2
2021-10-06 16:47:57 status installed libsemanage-common:all 3.0-1build2
2021-10-06 16:47:57 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2021-10-06 16:47:57 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 configure ncurses-base:all 6.2-0ubuntu2 <none>
2021-10-06 16:47:57 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-10-06 16:47:57 status half-configured ncurses-base:all 6.2-0ubuntu2
2021-10-06 16:47:57 status installed ncurses-base:all 6.2-0ubuntu2
2021-10-06 16:47:57 configure sensible-utils:all 0.0.12+nmu1 <none>
2021-10-06 16:47:57 status unpacked sensible-utils:all 0.0.12+nmu1
2021-10-06 16:47:57 status half-configured sensible-utils:all 0.0.12+nmu1
2021-10-06 16:47:57 status installed sensible-utils:all 0.0.12+nmu1
2021-10-06 16:47:57 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2021-10-06 16:47:57 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-10-06 16:47:57 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-10-06 16:47:57 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2021-10-06 16:47:57 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2021-10-06 16:47:57 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2021-10-06 16:47:57 configure libc6:amd64 2.31-0ubuntu9 <none>
2021-10-06 16:47:57 status unpacked libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:57 status half-configured libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:57 status installed libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:57 configure libudev1:amd64 245.4-4ubuntu3 <none>
2021-10-06 16:47:57 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-10-06 16:47:57 status half-configured libudev1:amd64 245.4-4ubuntu3
2021-10-06 16:47:57 status installed libudev1:amd64 245.4-4ubuntu3
2021-10-06 16:47:57 configure libsepol1:amd64 3.0-1 <none>
2021-10-06 16:47:57 status unpacked libsepol1:amd64 3.0-1
2021-10-06 16:47:57 status half-configured libsepol1:amd64 3.0-1
2021-10-06 16:47:57 status installed libsepol1:amd64 3.0-1
2021-10-06 16:47:57 configure libattr1:amd64 1:2.4.48-5 <none>
2021-10-06 16:47:57 status unpacked libattr1:amd64 1:2.4.48-5
2021-10-06 16:47:57 status half-configured libattr1:amd64 1:2.4.48-5
2021-10-06 16:47:57 status installed libattr1:amd64 1:2.4.48-5
2021-10-06 16:47:57 configure debianutils:amd64 4.9.1 <none>
2021-10-06 16:47:57 status unpacked debianutils:amd64 4.9.1
2021-10-06 16:47:57 status half-configured debianutils:amd64 4.9.1
2021-10-06 16:47:57 status installed debianutils:amd64 4.9.1
2021-10-06 16:47:57 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-10-06 16:47:57 status unpacked mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:57 status half-configured mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:57 status installed mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:57 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2021-10-06 16:47:57 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2021-10-06 16:47:57 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2021-10-06 16:47:57 status installed libdebconfclient0:amd64 0.251ubuntu1
2021-10-06 16:47:57 configure base-files:amd64 11ubuntu5 <none>
2021-10-06 16:47:57 status unpacked base-files:amd64 11ubuntu5
2021-10-06 16:47:57 status half-configured base-files:amd64 11ubuntu5
2021-10-06 16:47:57 status installed base-files:amd64 11ubuntu5
2021-10-06 16:47:57 configure libbz2-1.0:amd64 1.0.8-2 <none>
2021-10-06 16:47:57 status unpacked libbz2-1.0:amd64 1.0.8-2
2021-10-06 16:47:57 status half-configured libbz2-1.0:amd64 1.0.8-2
2021-10-06 16:47:57 status installed libbz2-1.0:amd64 1.0.8-2
2021-10-06 16:47:57 configure base-passwd:amd64 3.5.47 <none>
2021-10-06 16:47:57 status unpacked base-passwd:amd64 3.5.47
2021-10-06 16:47:57 status half-configured base-passwd:amd64 3.5.47
2021-10-06 16:47:57 status installed base-passwd:amd64 3.5.47
2021-10-06 16:47:57 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2021-10-06 16:47:57 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:57 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:57 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2021-10-06 16:47:57 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
